Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,Greedy No. Changed Names,Greedy No. Changed Tokens,Replaced Names,GA No. Changed Names,GA No. Changed Tokens,Attack Type,Query Times,Time Cost,Suc Type,Insert Words,orig prob,current prob
10,"public ListIngestionsResult listIngestions(ListIngestionsRequest request) {request = beforeClientExecution(request);return executeListIngestions(request);}
",22,"public ListIngestionsResult lists(ListIngestionsRequest index) {index = beforeClientExecution(index);return executeListIngestions(index);}
","public virtual ListIngestionsResponse ListIngestions(ListIngestionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListIngestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListIngestionsResponseUnmarshaller.Instance;return Invoke<ListIngestionsResponse>(request, options);}
","public virtual ListIngestionsResponse ListIngestions(ListIngestionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListIngestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListIngestionsResponseUnmarshaller.Instance;return Invoke<ListIngestionsResponse>(request, options);}
","public virtual ListIngestionsResponse List(ListIngestionsRequest index){index = ValidateRequest<ListIngestionsRequest>(index);return Invoke<ListIngestionsResponse>(index, ""ListIngestions"");}
",-1,"listIngestions,request","listIngestions:0.0,request:0.42456062711069886,",0,0,"request:index,listIngestions:list,",0,0,Greedy,19,0.17050614356994628,failed,[],1.0,0.19682144694015952
11,"public QueryParserTokenManager(CharStream stream, int lexState){this(stream);SwitchTo(lexState);}
",21,"public QueryParserTokenManager(CharStream input, int index){this(input);SwitchTo(index);}
","public QueryParserTokenManager(ICharStream stream, int lexState): this(stream){SwitchTo(lexState);}
","public QueryParserTokenManager(ICharStream stream, int lexState): this(stream){SwitchTo(lexState);}
","public QueryParserTokenManager(ICharStream input, int s): this(input){SwitchTo(s);}
",-1,"stream,lexState","stream:0.6725190074838228,lexState:0.4126962456978614,",0,0,"stream:input,lexState:s,",0,0,Greedy,17,0.07185409466425578,failed,[],0.75,0.09606988643778233
12,"public GetShardIteratorResult getShardIterator(GetShardIteratorRequest request) {request = beforeClientExecution(request);return executeGetShardIterator(request);}
",22,"public GetShardIteratorResult get(GetShardIteratorRequest parent) {parent = beforeClientExecution(parent);return executeGetShardIterator(parent);}
","public virtual GetShardIteratorResponse GetShardIterator(GetShardIteratorRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetShardIteratorRequestMarshaller.Instance;options.ResponseUnmarshaller = GetShardIteratorResponseUnmarshaller.Instance;return Invoke<GetShardIteratorResponse>(request, options);}
","public virtual GetShardIteratorResponse GetShardIterator(GetShardIteratorRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetShardIteratorRequestMarshaller.Instance;options.ResponseUnmarshaller = GetShardIteratorResponseUnmarshaller.Instance;return Invoke<GetShardIteratorResponse>(request, options);}
","public virtual GetShardIteratorResponse Get(GetShardIteratorRequest parent){parent = ValidateRequest<GetShardIteratorRequest>(parent);return Invoke<GetShardIteratorResponse>(parent, InvokeOptions.Instance);}
",-1,"getShardIterator,request","getShardIterator:0.0,request:0.5003771484911024,",0,0,"request:parent,getShardIterator:get,",0,0,Greedy,20,0.17255878051122028,failed,[],1.0,0.22904609921627356
13,"public ModifyStrategyRequest() {super(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"");setMethod(MethodType.POST);}
",25,,"public ModifyStrategyRequest(): base(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"", ""openAPI""){Method = MethodType.POST;}
","public ModifyStrategyRequest(): base(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"", ""openAPI""){Method = MethodType.POST;}
","public ModifyStrategyRequest(): base(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"", ""openAPI""){Method = MethodType.POST;}
",-3,,,,,,0,0,Greedy,1,0.006339347362518311,,,1.0,1.0
14,"public boolean ready() throws IOException {synchronized (lock) {if (in == null) {throw new IOException(""InputStreamReader is closed"");}try {return bytes.hasRemaining() || in.available() > 0;} catch (IOException e) {return false;}}}
",60,"public boolean ready() throws IOException {synchronized (lock) {if (in == null) {throw new IOException(""InputStreamReader is closed"");}try {return bytes.hasRemaining() || in.available() > 0;} catch (IOException e) {return false;}}}
","public override bool ready(){lock (@lock){if (@in == null){throw new System.IO.IOException(""InputStreamReader is closed"");}try{return bytes.hasRemaining() || @in.available() > 0;}catch (System.IO.IOException){return false;}}}
","public override bool Ready(){lock (@lock){if (@in == null){throw new System.IO.IOException(""InputStreamReader is closed"");}try{return bytes.HasRemaining || @in.Available > 0;}catch (System.IO.IOException){return false;}}}
","public override bool Ready(){lock (@lock){if (@in == null){throw new System.IO.IOException(""InputStreamReader is closed"");}try{return bytes.HasRemaining || @in.Available > 0;}catch (System.IO.IOException){return false;}}}
",-1,ready,"ready:0.5136380140740232,",0,0,,0,0,Greedy,7,0.06516046126683553,failed,[],0.6909006776688636,0.6909006776688636
15,"public EscherOptRecord getOptRecord() {return _optRecord;}
",10,"public EscherOptRecord clone() {return _optRecord;}
","protected internal EscherOptRecord GetOptRecord(){return _optRecord;}
","public EscherOptRecord GetOptRecord(){return _optRecord;}
","public EscherOptRecord Get(){return _optRecord;}
",-1,getOptRecord,"getOptRecord:0.17343653677088014,",0,0,"getOptRecord:clone,",0,0,Greedy,7,0.02293713092803955,failed,[],0.2860223939199411,0.125
16,"public synchronized int read(byte[] buffer, int offset, int length) {if (buffer == null) {throw new NullPointerException(""buffer == null"");}Arrays.checkOffsetAndCount(buffer.length, offset, length);if (length == 0) {return 0;}int copylen = count - pos < length ? count - pos : length;for (int i = 0; i < copylen; i++) {buffer[offset + i] = (byte) this.buffer.charAt(pos + i);}pos += copylen;return copylen;}
",117,"public synchronized int read(byte[] input, int count, int 1) {if (input == null) {throw new NullPointerException(""buffer == null"");}Arrays.checkOffsetAndCount(input.1, count, 1);if (1 == 0) {return 0;}int 1 = count - 1 < 1 ? count - 1 : 1;for (int 2 = 0; 2 < 1; 2++) {input[count + 2] = (byte) this.input.charAt(1 + 2);}1 += 1;return 1;}
","public override int read(byte[] buffer, int offset, int length){lock (this){if (buffer == null){throw new System.ArgumentNullException(""buffer == null"");}java.util.Arrays.checkOffsetAndCount(buffer.Length, offset, length);if (length == 0){return 0;}int copylen = count - pos < length ? count - pos : length;{for (int i = 0; i < copylen; i++){buffer[offset + i] = unchecked((byte)this.buffer[pos + i]);}}pos += copylen;return copylen;}}
","public override int Read(byte[] buffer, int offset, int length){lock (this){if (buffer == null){throw new System.ArgumentNullException(""buffer == null"");}java.util.Arrays.checkOffsetAndCount(buffer.Length, offset, length);if (length == 0){return 0;}int copylen = count - pos < length? count - pos : length;for (int i = 0; i < copylen; i++){buffer[offset + i] = (byte)this.buffer[pos + i];}pos += copylen;return copylen;}}
","public override int Read(byte[] input, int data, int 1){lock (this){if (input == null){throw new System.ArgumentNullException(""buffer == null"");}java.util.Arrays.checkOffsetAndCount(input.1, data, 1);if (1 == 0){return 0;}int 1 = count - 1 < 1? count - 1 : 1;for (int 2 = 0; 2 < 1; 2++){input[data + 2] = (byte)this.input[1 + 2];}1 += 1;return 1;}}
",-1,"read,buffer,offset,length,copylen,i,pos","read:0.5887643959015317,buffer:0.6397727809753571,offset:0.4520709652219195,length:0.6936633179741074,copylen:0.6704208615930902,i:0.7378640822262008,pos:0.6464597021745893,",0,0,"i:2,length:0,copylen:this,pos:2,buffer:input,offset:buff,",0,0,Greedy,160,2.7550457676251727,failed,[],0.865963806585351,0.25963864149298405
17,"public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp) {this.sentenceOp = sentenceOp;}
",14,"public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp operator) {this.operator = operator;}
","public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp){this.sentenceOp = sentenceOp;}
","public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp){this.sentenceOp = sentenceOp;}
","public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp open){this.open = open;}
",-1,sentenceOp,"sentenceOp:0.8993069419775979,",0,0,"sentenceOp:operator,",0,0,Greedy,9,0.030063815911610923,failed,[],1.0,0.48164543897478307
18,"public void print(String str) {write(str != null ? str : String.valueOf((Object) null));}
",28,"public void write(String write) {write(write != null ? write : String.valueOf((Object) null));}
","public virtual void print(string str){write(str != null ? str : Sharpen.StringHelper.GetValueOf((object)null));}
","public virtual void print(string str){write(str!= null? str : string.Empty);}
","public virtual void Add(string add){Write(add!= null? add : string.ValueOf((object)null));}
",-1,"print,str","print:0.3383707970801717,str:0.5524120690975287,",0,0,"str:print,print:print,",0,0,Greedy,19,0.0609868327776591,failed,[],0.7479250708354617,0.29991937099718635
19,"public NotImplementedFunctionException(String functionName, NotImplementedException cause) {super(functionName, cause);this.functionName = functionName;}
",24,"public NotImplementedFunctionException(String null, NotImplementedException name) {super(null, name);this.null = null;}
","public NotImplementedFunctionException(string functionName, NotImplementedException cause): base(functionName,cause){this.functionName = functionName;}
","public NotImplementedFunctionException(string functionName, Exception cause): base(functionName, cause){this.functionName = functionName;}
","public NotImplementedFunctionException(string null, NotImplementedException method): base(null, method){this.null = null;}
",-1,"functionName,cause","functionName:0.5348918063763778,cause:0.20893149798305605,",0,0,"functionName:null,cause:name,",0,0,Greedy,23,0.09919974803924561,failed,[],0.5854868942093372,0.3707217107053179
20,"public V next() {return super.nextEntry().getValue();}
",18,"public V Next() {return super.nextEntry().getValue();}
","public override V next(){return this.nextEntry().value;}
","public override V next(){return this.nextEntry().getValue();}
","public override V next(){return this.nextEntry().getValue();}
",-1,next,"next:0.3245324070330977,",0,0,"next:Next,",0,0,Greedy,7,0.020044982433319092,failed,[],0.4943056622447288,0.21584654437113204
21,"public final void readBytes(byte[] b, int offset, int len, boolean useBuffer) throws IOException {int available = bufferLength - bufferPosition;if(len <= available){if(len>0) System.arraycopy(buffer, bufferPosition, b, offset, len);bufferPosition+=len;} else {if(available > 0){System.arraycopy(buffer, bufferPosition, b, offset, available);offset += available;len -= available;bufferPosition += available;}if (useBuffer && len<bufferSize){refill();if(bufferLength<len){System.arraycopy(buffer, 0, b, offset, bufferLength);throw new EOFException(""read past EOF: "" + this);} else {System.arraycopy(buffer, 0, b, offset, len);bufferPosition=len;}} else {long after = bufferStart+bufferPosition+len;if(after > length())throw new EOFException(""read past EOF: "" + this);readInternal(b, offset, len);bufferStart = after;bufferPosition = 0;bufferLength = 0;                    }}}
",224,"public final void write(byte[] array, int out, int 0, boolean capacity) throws IOException {int 0 = limit - end;if(0 <= 0){if(0>0) System.arraycopy(buffer, end, array, out, 0);end+=0;} else {if(0 > 0){System.arraycopy(buffer, end, array, out, 0);out += 0;0 -= 0;end += 0;}if (capacity && 0<bufferSize){refill();if(limit<0){System.arraycopy(buffer, 0, array, out, limit);throw new EOFException(""read past EOF: "" + this);} else {System.arraycopy(buffer, 0, array, out, 0);end=0;}} else {long 0 = position+end+0;if(0 > length())throw new EOFException(""read past EOF: "" + this);readInternal(array, out, 0);position = 0;end = 0;limit = 0;                    }}}
","public override sealed void ReadBytes(byte[] b, int offset, int len, bool useBuffer){int available = bufferLength - bufferPosition;if (len <= available){if (len > 0) {Buffer.BlockCopy(m_buffer, bufferPosition, b, offset, len);}bufferPosition += len;}else{if (available > 0){Buffer.BlockCopy(m_buffer, bufferPosition, b, offset, available);offset += available;len -= available;bufferPosition += available;}if (useBuffer && len < bufferSize){Refill();if (bufferLength < len){Buffer.BlockCopy(m_buffer, 0, b, offset, bufferLength);throw new EndOfStreamException(""read past EOF: "" + this);}else{Buffer.BlockCopy(m_buffer, 0, b, offset, len);bufferPosition = len;}}else{long after = bufferStart + bufferPosition + len;if (after > Length){throw new EndOfStreamException(""read past EOF: "" + this);}ReadInternal(b, offset, len);bufferStart = after;bufferPosition = 0;bufferLength = 0; }}}
","public virtual void ReadBytes(byte[] b, int offset, int len, bool useBuffer){int available = bufferLength - bufferPosition;if (len <= available){if (len > 0){System.Array.Copy(buffer, bufferPosition, b, offset, len);bufferPosition += len;}else{if (available > 0){System.Array.Copy(buffer, bufferPosition, b, offset, available);offset += available;len -= available;bufferPosition += available;}if (useBuffer && len < bufferSize){Refill();if (bufferLength < len){System.Array.Copy(buffer, 0, b, offset, bufferLength);throw new System.IndexOutOfRangeException(""read past EOF: "" + this);}else{System.Array.Copy(buffer, 0, b, offset, len);bufferPosition = len;}}else{long after = bufferStart + bufferPosition + len;if (after > length()){throw new System.IO.EOFException(""read past EOF: "" + this);ReadInternal(b, offset, len);bufferStart = after;bufferPosition = 0;bufferLength = 0;}}
","public override void Copy(byte[] array, int out, int 0, bool capacity){int 0 = _limit - _end;if (0 <= 0){if (0 > 0){System.Array.Copy(buffer, _end, array, out, 0);end += 0;}else{if (0 > 0){System.Array.Copy(buffer, _end, array, out, 0);out += 0;0 -= 0;end += 0;}if (capacity && 0<_bufferSize){Refill();if (limit < 0){System.Array.Copy(buffer, _end, array, out, _limit);throw new System.IO.EOFException(""read past EOF: "" + this);}else{System.Array.Copy(buffer, _position, array, out, 0);end=0;}}}else{long 0 = _position + _end + 0;if (0 > length()){throw new System.IO.EOFException(""read past EOF: "" + this);ReadInternal(array, out, 0);_position = 0;_end = 0;_limit = 0;_cursor = 0;}
",-1,"readBytes,b,offset,len,useBuffer,available,bufferPosition,after,bufferStart,bufferLength","readBytes:0.19443766822682795,b:0.6085369213066026,offset:0.6320018029949298,len:0.6353487782607014,useBuffer:0.6026812091221738,available:0.5643110260627261,bufferPosition:0.6024387202890014,after:0.5883393380141635,bufferStart:0.7152220417589116,bufferLength:0.63899586523514,",0,0,"bufferStart:position,bufferLength:b,len:output,offset:buffer,b:array,useBuffer:capacity,bufferPosition:full,after:buffer,available:buffer,readBytes:write,",0,0,Greedy,282,9.348953513304393,failed,[],0.753642914352458,0.16346277956017233
22,"public TagQueueResult tagQueue(TagQueueRequest request) {request = beforeClientExecution(request);return executeTagQueue(request);}
",22,"public TagQueueResult tagQueue(TagQueueRequest input) {input = beforeClientExecution(input);return executeTagQueue(input);}
","public virtual TagQueueResponse TagQueue(TagQueueRequest request){var options = new InvokeOptions();options.RequestMarshaller = TagQueueRequestMarshaller.Instance;options.ResponseUnmarshaller = TagQueueResponseUnmarshaller.Instance;return Invoke<TagQueueResponse>(request, options);}
","public virtual TagQueueResponse TagQueue(TagQueueRequest request){var options = new InvokeOptions();options.RequestMarshaller = TagQueueRequestMarshaller.Instance;options.ResponseUnmarshaller = TagQueueResponseUnmarshaller.Instance;return Invoke<TagQueueResponse>(request, options);}
","public virtual TagQueueResponse TagQueue(TagQueueRequest input){var options = new InvokeOptions();options.RequestMarshaller = TagQueueRequestMarshaller.Instance;options.ResponseUnmarshaller = TagQueueResponseUnmarshaller.Instance;return Invoke<TagQueueResponse>(input, options);}
",-1,"tagQueue,request","tagQueue:0.0,request:0.5582633725726197,",0,0,"request:input,",0,0,Greedy,23,0.17316402594248453,failed,[],1.0,0.8330700172095619
23,"public void remove() {throw new UnsupportedOperationException();}
",13,"public void remove() {throw new UnsupportedOperationException();}
","public override void Remove(){throw new NotSupportedException();}
","public virtual void remove(){throw new NotSupportedException();}
","public virtual void remove(){throw new NotSupportedException();}
",-1,remove,"remove:0.19895175648206437,",0,0,,0,0,Greedy,7,0.013993652661641438,failed,[],0.3018989575163158,0.3018989575163158
